expenditure_id,voucher_pk,gp_lgd_code,fiscal_year,voucher_no,voucher_date,voucher_cost
17,356.0,119598,2024-2025,5THSFC/2024-25/P/13,2024-12-23,39.0
17,357.0,119598,2024-2025,5THSFC/2024-25/P/14,2024-12-23,450.0
18,330.0,119598,2024-2025,5THSFC/2024-25/P/4,2024-10-02,100000.0
19,346.0,119598,2024-2025,5THSFC/2024-25/P/10,2024-10-10,33600.0
19,347.0,119598,2024-2025,5THSFC/2024-25/P/11,2024-10-10,33870.0
19,228.0,119598,2025-2026,5THSFC/2025-26/P/48,2026-02-22,19739.0
23,341.0,119598,2024-2025,XVFC/2024-25/P/8,2024-10-02,119466.0
23,342.0,119598,2024-2025,XVFC/2024-25/P/9,2024-10-02,2198.0
23,332.0,119598,2024-2025,XVFC/2024-25/P/10,2024-10-02,4764.0
29,752.0,119598,2022-2023,XVFC/2022-23/P/5,2022-07-15,450000.0
30,778.0,119598,2022-2023,XVFC/2022-23/P/8,2022-09-15,73951.0
30,779.0,119598,2022-2023,XVFC/2022-23/P/9,2022-09-15,2493.0
30,776.0,119598,2022-2023,XVFC/2022-23/P/10,2022-09-15,800.0
30,777.0,119598,2022-2023,XVFC/2022-23/P/11,2022-09-15,2756.0
31,810.0,119598,2022-2023,XVFC/2022-23/P/29,2022-11-30,79357.0
31,811.0,119598,2022-2023,XVFC/2022-23/P/30,2022-11-30,1880.0
31,812.0,119598,2022-2023,XVFC/2022-23/P/31,2022-11-30,850.0
31,813.0,119598,2022-2023,XVFC/2022-23/P/32,2022-11-30,2913.0
32,806.0,119598,2022-2023,XVFC/2022-23/P/25,2022-11-30,92779.0
32,807.0,119598,2022-2023,XVFC/2022-23/P/26,2022-11-30,2830.0
32,808.0,119598,2022-2023,XVFC/2022-23/P/27,2022-11-30,1000.0
32,809.0,119598,2022-2023,XVFC/2022-23/P/28,2022-11-30,3391.0
33,785.0,119598,2022-2023,XVFC/2022-23/P/14,2022-09-29,92577.0
33,786.0,119598,2022-2023,XVFC/2022-23/P/15,2022-09-29,2992.0
33,787.0,119598,2022-2023,XVFC/2022-23/P/16,2022-09-29,1000.0
33,788.0,119598,2022-2023,XVFC/2022-23/P/17,2022-09-29,3431.0
34,879.0,119598,2022-2023,XVFC/2022-23/P/56,2023-03-14,83211.0
34,880.0,119598,2022-2023,XVFC/2022-23/P/57,2023-03-14,2790.0
34,881.0,119598,2022-2023,XVFC/2022-23/P/58,2023-03-14,900.0
34,882.0,119598,2022-2023,XVFC/2022-23/P/59,2023-03-14,3099.0
35,798.0,119598,2022-2023,XVFC/2022-23/P/20,2022-11-08,66892.0
35,799.0,119598,2022-2023,XVFC/2022-23/P/21,2022-11-08,225.0
35,800.0,119598,2022-2023,XVFC/2022-23/P/22,2022-11-08,700.0
35,801.0,119598,2022-2023,XVFC/2022-23/P/23,2022-11-08,2183.0
37,830.0,119598,2022-2023,XVFC/2022-23/P/33,2023-01-11,86230.0
37,831.0,119598,2022-2023,XVFC/2022-23/P/34,2023-01-11,71.0
37,832.0,119598,2022-2023,XVFC/2022-23/P/35,2023-01-11,900.0
37,833.0,119598,2022-2023,XVFC/2022-23/P/36,2023-01-11,2799.0
40,333.0,119598,2024-2025,XVFC/2024-25/P/11,2024-10-02,98000.0
40,334.0,119598,2024-2025,XVFC/2024-25/P/12,2024-10-02,2000.0
42,194.0,119598,2025-2026,5THSFC/2025-26/P/25,2025-12-08,40952.0
43,372.0,119598,2024-2025,XVFC/2024-25/P/32,2025-02-21,93921.0
43,373.0,119598,2024-2025,XVFC/2024-25/P/33,2025-02-21,2823.0
43,374.0,119598,2024-2025,XVFC/2024-25/P/34,2025-02-21,1000.0
44,529.0,119598,2023-2024,5THSFC/2023-24/P/2,2023-06-06,2712.0
44,529.0,119598,2023-2024,5THSFC/2023-24/P/2,2023-06-06,4725.0
44,529.0,119598,2023-2024,5THSFC/2023-24/P/2,2023-06-06,451773.0
47,751.0,119598,2022-2023,XVFC/2022-23/P/4,2022-07-15,181234.0
47,766.0,119598,2022-2023,XVFC/2022-23/P/6,2022-08-19,6382.0
47,767.0,119598,2022-2023,XVFC/2022-23/P/7,2022-08-19,21554.0
47,783.0,119598,2022-2023,XVFC/2022-23/P/12,2022-09-29,7928.0
47,784.0,119598,2022-2023,XVFC/2022-23/P/13,2022-09-29,26427.0
47,789.0,119598,2022-2023,XVFC/2022-23/P/18,2022-10-22,29018.0
47,790.0,119598,2022-2023,XVFC/2022-23/P/19,2022-10-22,8981.0
47,802.0,119598,2022-2023,XVFC/2022-23/P/24,2022-11-16,25489.0
47,837.0,119598,2022-2023,XVFC/2022-23/P/40,2023-01-20,11740.0
47,841.0,119598,2022-2023,XVFC/2022-23/P/41,2023-02-11,8792.0
47,870.0,119598,2022-2023,XVFC/2022-23/P/51,2023-03-11,8528.0
47,516.0,119598,2023-2024,XVFC/2023-24/P/2,2023-05-18,24233.0
47,533.0,119598,2023-2024,XVFC/2023-24/P/7,2023-06-18,13172.0
56,348.0,119598,2024-2025,5THSFC/2024-25/P/9,2024-10-10,36000.0
57,337.0,119598,2024-2025,XVFC/2024-25/P/15,2024-10-02,99343.0
57,338.0,119598,2024-2025,XVFC/2024-25/P/16,2024-10-02,1004.0
58,517.0,119598,2023-2024,XVFC/2023-24/P/3,2023-05-19,4000.0
58,518.0,119598,2023-2024,XVFC/2023-24/P/4,2023-05-19,2000.0
58,519.0,119598,2023-2024,XVFC/2023-24/P/5,2023-05-19,2000.0
58,545.0,119598,2023-2024,XVFC/2023-24/P/8,2023-07-15,4000.0
58,546.0,119598,2023-2024,XVFC/2023-24/P/9,2023-07-15,2000.0
58,544.0,119598,2023-2024,XVFC/2023-24/P/10,2023-07-15,2000.0
58,551.0,119598,2023-2024,XVFC/2023-24/P/11,2023-09-15,8000.0
58,552.0,119598,2023-2024,XVFC/2023-24/P/12,2023-09-15,4000.0
58,553.0,119598,2023-2024,XVFC/2023-24/P/13,2023-09-15,4000.0
58,559.0,119598,2023-2024,XVFC/2023-24/P/14,2023-10-19,4000.0
58,560.0,119598,2023-2024,XVFC/2023-24/P/15,2023-10-19,2000.0
58,561.0,119598,2023-2024,XVFC/2023-24/P/16,2023-10-19,2000.0
58,564.0,119598,2023-2024,XVFC/2023-24/P/18,2023-10-31,4000.0
58,565.0,119598,2023-2024,XVFC/2023-24/P/19,2023-10-31,2000.0
58,566.0,119598,2023-2024,XVFC/2023-24/P/20,2023-10-31,2000.0
58,390.0,119598,2024-2025,XVFC/2024-25/P/45,2025-02-24,49500.0
58,195.0,119598,2025-2026,XVFC/2025-26/P/149,2025-12-08,2500.0
59,515.0,119598,2023-2024,XVFC/2023-24/P/1,2023-05-18,86241.0
59,520.0,119598,2023-2024,XVFC/2023-24/P/6,2023-05-19,68.0
60,861.0,119598,2022-2023,XVFC/2022-23/P/42,2023-03-11,7290.0
60,862.0,119598,2022-2023,XVFC/2022-23/P/43,2023-03-11,44.0
60,863.0,119598,2022-2023,XVFC/2022-23/P/44,2023-03-11,75.0
60,883.0,119598,2022-2023,XVFC/2022-23/P/60,2023-03-14,7290.0
60,884.0,119598,2022-2023,XVFC/2022-23/P/61,2023-03-14,44.0
60,885.0,119598,2022-2023,XVFC/2022-23/P/62,2023-03-14,75.0
60,369.0,119598,2024-2025,XVFC/2024-25/P/29,2025-02-21,7290.0
60,370.0,119598,2024-2025,XVFC/2024-25/P/30,2025-02-21,44.0
60,371.0,119598,2024-2025,XVFC/2024-25/P/31,2025-02-21,75.0
61,864.0,119598,2022-2023,XVFC/2022-23/P/45,2023-03-11,8656.0
61,865.0,119598,2022-2023,XVFC/2022-23/P/46,2023-03-11,164.0
61,866.0,119598,2022-2023,XVFC/2022-23/P/47,2023-03-11,90.0
61,867.0,119598,2022-2023,XVFC/2022-23/P/48,2023-03-11,4327.0
61,868.0,119598,2022-2023,XVFC/2022-23/P/49,2023-03-11,83.0
61,869.0,119598,2022-2023,XVFC/2022-23/P/50,2023-03-11,45.0
62,366.0,119598,2024-2025,XVFC/2024-25/P/26,2025-02-21,14619.0
62,367.0,119598,2024-2025,XVFC/2024-25/P/27,2025-02-21,81.0
62,368.0,119598,2024-2025,XVFC/2024-25/P/28,2025-02-21,150.0
63,335.0,119598,2024-2025,XVFC/2024-25/P/13,2024-10-02,91080.0
63,336.0,119598,2024-2025,XVFC/2024-25/P/14,2024-10-02,920.0
66,202.0,119598,2025-2026,XVFC/2025-26/P/153,2025-12-15,5900.0
69,563.0,119598,2023-2024,XVFC/2023-24/P/17,2023-10-31,46570.0
69,326.0,119598,2024-2025,XVFC/2024-25/P/2,2024-09-05,103750.0
70,875.0,119598,2022-2023,XVFC/2022-23/P/52,2023-03-14,791100.0
70,876.0,119598,2022-2023,XVFC/2022-23/P/53,2023-03-14,5516.0
70,877.0,119598,2022-2023,XVFC/2022-23/P/54,2023-03-14,8290.0
70,878.0,119598,2022-2023,XVFC/2022-23/P/55,2023-03-14,23890.0
71,323.0,119598,2024-2025,5THSFC/2024-25/P/1,2024-09-05,145979.0
71,324.0,119598,2024-2025,5THSFC/2024-25/P/2,2024-09-05,736.0
71,325.0,119598,2024-2025,5THSFC/2024-25/P/3,2024-09-05,1500.0
72,834.0,119598,2022-2023,XVFC/2022-23/P/37,2023-01-11,57483.0
72,835.0,119598,2022-2023,XVFC/2022-23/P/38,2023-01-11,600.0
72,836.0,119598,2022-2023,XVFC/2022-23/P/39,2023-01-11,97.0
73,889.0,119598,2022-2023,XVFC/2022-23/P/63,2023-03-16,23766.0
73,890.0,119598,2022-2023,XVFC/2022-23/P/64,2023-03-16,179.0
73,891.0,119598,2022-2023,XVFC/2022-23/P/65,2023-03-16,250.0
73,327.0,119598,2024-2025,XVFC/2024-25/P/3,2024-09-05,24383.0
73,328.0,119598,2024-2025,XVFC/2024-25/P/4,2024-09-05,57.0
73,329.0,119598,2024-2025,XVFC/2024-25/P/5,2024-09-05,250.0
74,360.0,119598,2024-2025,XVFC/2024-25/P/23,2024-12-23,101479.0
74,361.0,119598,2024-2025,XVFC/2024-25/P/24,2024-12-23,1050.0
74,362.0,119598,2024-2025,XVFC/2024-25/P/25,2024-12-23,1057.0
75,452.0,119598,2024-2025,XVFC/2024-25/P/81,2025-03-29,70000.0
76,23.0,119598,2025-2026,5THSFC/2025-26/P/1,2025-05-28,312099.0
76,24.0,119598,2025-2026,5THSFC/2025-26/P/2,2025-05-28,3244.0
76,25.0,119598,2025-2026,5THSFC/2025-26/P/3,2025-05-28,3225.0
77,534.0,119598,2023-2024,5THSFC/2023-24/P/6,2023-06-24,39480.0
78,535.0,119598,2023-2024,5THSFC/2023-24/P/7,2023-06-24,37440.0
84,73.0,119598,2025-2026,XVFC/2025-26/P/46,2025-07-15,3000.0
84,74.0,119598,2025-2026,XVFC/2025-26/P/47,2025-07-15,2.51
84,75.0,119598,2025-2026,XVFC/2025-26/P/48,2025-07-15,35.0
84,153.0,119598,2025-2026,XVFC/2025-26/P/119,2025-07-26,427.0
85,76.0,119598,2025-2026,XVFC/2025-26/P/49,2025-07-15,3000.0
85,77.0,119598,2025-2026,XVFC/2025-26/P/50,2025-07-15,2.51
85,78.0,119598,2025-2026,XVFC/2025-26/P/51,2025-07-15,35.0
85,154.0,119598,2025-2026,XVFC/2025-26/P/120,2025-07-26,427.0
86,85.0,119598,2025-2026,XVFC/2025-26/P/58,2025-07-15,3000.0
86,86.0,119598,2025-2026,XVFC/2025-26/P/59,2025-07-15,2.51
86,87.0,119598,2025-2026,XVFC/2025-26/P/60,2025-07-15,35.0
86,157.0,119598,2025-2026,XVFC/2025-26/P/123,2025-07-26,427.0
87,91.0,119598,2025-2026,XVFC/2025-26/P/64,2025-07-15,3000.0
87,92.0,119598,2025-2026,XVFC/2025-26/P/65,2025-07-15,2.51
87,93.0,119598,2025-2026,XVFC/2025-26/P/66,2025-07-15,35.0
87,159.0,119598,2025-2026,XVFC/2025-26/P/125,2025-07-26,427.0
88,112.0,119598,2025-2026,XVFC/2025-26/P/79,2025-07-16,3000.0
88,113.0,119598,2025-2026,XVFC/2025-26/P/80,2025-07-16,2.51
88,114.0,119598,2025-2026,XVFC/2025-26/P/81,2025-07-16,35.0
88,165.0,119598,2025-2026,XVFC/2025-26/P/131,2025-07-26,427.0
97,331.0,119598,2024-2025,5THSFC/2024-25/P/5,2024-10-02,180000.0
97,343.0,119598,2024-2025,5THSFC/2024-25/P/6,2024-10-05,107968.0
97,344.0,119598,2024-2025,5THSFC/2024-25/P/7,2024-10-05,6901.0
97,345.0,119598,2024-2025,5THSFC/2024-25/P/8,2024-10-05,3000.0
98,180.0,119598,2025-2026,5THSFC/2025-26/P/20,2025-10-31,126000.0
98,181.0,119598,2025-2026,5THSFC/2025-26/P/21,2025-10-31,78.0
98,182.0,119598,2025-2026,5THSFC/2025-26/P/22,2025-10-31,1500.0
98,190.0,119598,2025-2026,5THSFC/2025-26/P/23,2025-11-11,20793.0
102,43.0,119598,2025-2026,XVFC/2025-26/P/16,2025-07-15,3000.0
102,44.0,119598,2025-2026,XVFC/2025-26/P/17,2025-07-15,2.51
102,45.0,119598,2025-2026,XVFC/2025-26/P/18,2025-07-15,35.0
102,143.0,119598,2025-2026,XVFC/2025-26/P/109,2025-07-26,427.0
103,46.0,119598,2025-2026,XVFC/2025-26/P/19,2025-07-15,3000.0
103,47.0,119598,2025-2026,XVFC/2025-26/P/20,2025-07-15,2.51
103,48.0,119598,2025-2026,XVFC/2025-26/P/21,2025-07-15,35.0
103,144.0,119598,2025-2026,XVFC/2025-26/P/110,2025-07-26,427.0
104,49.0,119598,2025-2026,XVFC/2025-26/P/22,2025-07-15,3000.0
104,50.0,119598,2025-2026,XVFC/2025-26/P/23,2025-07-15,2.51
104,51.0,119598,2025-2026,XVFC/2025-26/P/24,2025-07-15,35.0
104,145.0,119598,2025-2026,XVFC/2025-26/P/111,2025-07-26,427.0
105,58.0,119598,2025-2026,XVFC/2025-26/P/31,2025-07-15,3000.0
105,59.0,119598,2025-2026,XVFC/2025-26/P/32,2025-07-15,2.51
105,60.0,119598,2025-2026,XVFC/2025-26/P/33,2025-07-15,35.0
105,148.0,119598,2025-2026,XVFC/2025-26/P/114,2025-07-26,427.0
106,64.0,119598,2025-2026,XVFC/2025-26/P/37,2025-07-15,3000.0
106,65.0,119598,2025-2026,XVFC/2025-26/P/38,2025-07-15,2.51
106,66.0,119598,2025-2026,XVFC/2025-26/P/39,2025-07-15,35.0
106,150.0,119598,2025-2026,XVFC/2025-26/P/116,2025-07-26,427.0
107,67.0,119598,2025-2026,XVFC/2025-26/P/40,2025-07-15,3000.0
107,68.0,119598,2025-2026,XVFC/2025-26/P/41,2025-07-15,2.51
107,69.0,119598,2025-2026,XVFC/2025-26/P/42,2025-07-15,35.0
107,151.0,119598,2025-2026,XVFC/2025-26/P/117,2025-07-26,427.0
108,61.0,119598,2025-2026,XVFC/2025-26/P/34,2025-07-15,3000.0
108,62.0,119598,2025-2026,XVFC/2025-26/P/35,2025-07-15,2.51
108,63.0,119598,2025-2026,XVFC/2025-26/P/36,2025-07-15,35.0
108,149.0,119598,2025-2026,XVFC/2025-26/P/115,2025-07-26,427.0
110,400.0,119598,2024-2025,XVFC/2024-25/P/54,2025-03-08,200000.0
110,401.0,119598,2024-2025,XVFC/2024-25/P/55,2025-03-08,8271.0
110,402.0,119598,2024-2025,XVFC/2024-25/P/56,2025-03-08,2578.0
110,405.0,119598,2024-2025,XVFC/2024-25/P/58,2025-03-12,43102.0
111,79.0,119598,2025-2026,XVFC/2025-26/P/52,2025-07-15,3000.0
111,80.0,119598,2025-2026,XVFC/2025-26/P/53,2025-07-15,2.51
111,81.0,119598,2025-2026,XVFC/2025-26/P/54,2025-07-15,35.0
111,155.0,119598,2025-2026,XVFC/2025-26/P/121,2025-07-26,427.0
112,82.0,119598,2025-2026,XVFC/2025-26/P/55,2025-07-15,3000.0
112,83.0,119598,2025-2026,XVFC/2025-26/P/56,2025-07-15,2.51
112,84.0,119598,2025-2026,XVFC/2025-26/P/57,2025-07-15,35.0
112,156.0,119598,2025-2026,XVFC/2025-26/P/122,2025-07-26,427.0
113,98.0,119598,2025-2026,XVFC/2025-26/P/71,2025-07-15,2.51
113,99.0,119598,2025-2026,XVFC/2025-26/P/72,2025-07-15,35.0
113,161.0,119598,2025-2026,XVFC/2025-26/P/127,2025-07-26,427.0
113,163.0,119598,2025-2026,XVFC/2025-26/P/129,2025-07-26,3000.0
114,106.0,119598,2025-2026,XVFC/2025-26/P/73,2025-07-16,3000.0
114,107.0,119598,2025-2026,XVFC/2025-26/P/74,2025-07-16,2.51
114,108.0,119598,2025-2026,XVFC/2025-26/P/75,2025-07-16,35.0
114,162.0,119598,2025-2026,XVFC/2025-26/P/128,2025-07-26,427.0
115,115.0,119598,2025-2026,XVFC/2025-26/P/82,2025-07-16,3000.0
115,116.0,119598,2025-2026,XVFC/2025-26/P/83,2025-07-16,2.51
115,117.0,119598,2025-2026,XVFC/2025-26/P/84,2025-07-16,35.0
115,166.0,119598,2025-2026,XVFC/2025-26/P/132,2025-07-26,427.0
116,103.0,119598,2025-2026,XVFC/2025-26/P/104,2025-07-16,3000.0
116,104.0,119598,2025-2026,XVFC/2025-26/P/105,2025-07-16,2.51
116,105.0,119598,2025-2026,XVFC/2025-26/P/106,2025-07-16,35.0
116,173.0,119598,2025-2026,XVFC/2025-26/P/139,2025-07-26,427.0
117,100.0,119598,2025-2026,XVFC/2025-26/P/100,2025-07-16,3000.0
117,101.0,119598,2025-2026,XVFC/2025-26/P/101,2025-07-16,2.51
117,102.0,119598,2025-2026,XVFC/2025-26/P/102,2025-07-16,35.0
117,172.0,119598,2025-2026,XVFC/2025-26/P/138,2025-07-26,427.0
118,130.0,119598,2025-2026,XVFC/2025-26/P/97,2025-07-16,3000.0
118,131.0,119598,2025-2026,XVFC/2025-26/P/98,2025-07-16,2.51
118,132.0,119598,2025-2026,XVFC/2025-26/P/99,2025-07-16,35.0
118,171.0,119598,2025-2026,XVFC/2025-26/P/137,2025-07-26,427.0
119,127.0,119598,2025-2026,XVFC/2025-26/P/94,2025-07-16,3000.0
119,128.0,119598,2025-2026,XVFC/2025-26/P/95,2025-07-16,2.51
119,129.0,119598,2025-2026,XVFC/2025-26/P/96,2025-07-16,35.0
119,170.0,119598,2025-2026,XVFC/2025-26/P/136,2025-07-26,427.0
120,124.0,119598,2025-2026,XVFC/2025-26/P/91,2025-07-16,3000.0
120,125.0,119598,2025-2026,XVFC/2025-26/P/92,2025-07-16,2.51
120,126.0,119598,2025-2026,XVFC/2025-26/P/93,2025-07-16,35.0
120,169.0,119598,2025-2026,XVFC/2025-26/P/135,2025-07-26,427.0
121,121.0,119598,2025-2026,XVFC/2025-26/P/88,2025-07-16,3000.0
121,122.0,119598,2025-2026,XVFC/2025-26/P/89,2025-07-16,2.51
121,123.0,119598,2025-2026,XVFC/2025-26/P/90,2025-07-16,35.0
121,168.0,119598,2025-2026,XVFC/2025-26/P/134,2025-07-26,427.0
122,118.0,119598,2025-2026,XVFC/2025-26/P/85,2025-07-16,3000.0
122,119.0,119598,2025-2026,XVFC/2025-26/P/86,2025-07-16,2.51
122,120.0,119598,2025-2026,XVFC/2025-26/P/87,2025-07-16,35.0
122,167.0,119598,2025-2026,XVFC/2025-26/P/133,2025-07-26,427.0
123,183.0,119598,2025-2026,XVFC/2025-26/P/140,2025-10-31,200000.0
123,184.0,119598,2025-2026,XVFC/2025-26/P/141,2025-10-31,1226.0
123,185.0,119598,2025-2026,XVFC/2025-26/P/142,2025-10-31,2340.0
123,193.0,119598,2025-2026,XVFC/2025-26/P/148,2025-11-11,27550.0
130,598.0,119598,2023-2024,XVFC/2023-24/P/21,2024-03-22,30000.0
130,39.0,119598,2025-2026,XVFC/2025-26/P/12,2025-06-02,26000.0
130,196.0,119598,2025-2026,XVFC/2025-26/P/150,2025-12-08,36500.0
130,252.0,119598,2025-2026,XVFC/2025-26/P/168,2026-03-10,7500.0
131,428.0,119598,2024-2025,XVFC/2024-25/P/62,2025-03-26,80000.0
131,429.0,119598,2024-2025,XVFC/2024-25/P/63,2025-03-26,2343.0
131,430.0,119598,2024-2025,XVFC/2024-25/P/64,2025-03-26,1000.0
131,449.0,119598,2024-2025,XVFC/2024-25/P/78,2025-03-29,14938.0
132,431.0,119598,2024-2025,XVFC/2024-25/P/65,2025-03-26,160000.0
132,432.0,119598,2024-2025,XVFC/2024-25/P/66,2025-03-26,4613.0
132,433.0,119598,2024-2025,XVFC/2024-25/P/67,2025-03-26,2000.0
132,450.0,119598,2024-2025,XVFC/2024-25/P/79,2025-03-29,29951.0
133,439.0,119598,2024-2025,XVFC/2024-25/P/73,2025-03-26,40000.0
133,440.0,119598,2024-2025,XVFC/2024-25/P/74,2025-03-26,500.0
133,446.0,119598,2024-2025,XVFC/2024-25/P/75,2025-03-29,9500.0
269,434.0,119598,2024-2025,XVFC/2024-25/P/68,2025-03-26,50000.0
269,435.0,119598,2024-2025,XVFC/2024-25/P/69,2025-03-26,195.0
269,436.0,119598,2024-2025,XVFC/2024-25/P/70,2025-03-26,600.0
269,451.0,119598,2024-2025,XVFC/2024-25/P/80,2025-03-29,8503.0
270,351.0,119598,2024-2025,XVFC/2024-25/P/19,2024-12-13,100000.0
270,352.0,119598,2024-2025,XVFC/2024-25/P/20,2024-12-17,42170.0
