activity_code,fund_scheme_code,fund_component_code,fund_tied_general,fund_tied_sc,fund_tied_st,fund_untied_general,fund_untied_sc,fund_untied_st,fund_amount_total,fund_tied_abandoned_general,fund_tied_abandoned_sc,fund_tied_abandoned_st,fund_untied_abandoned_general,fund_untied_abandoned_sc,fund_untied_abandoned_st,fund_overflow_json
80577089,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80577395,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80577719,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80577978,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80578249,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80578526,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80581126,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80747681,38.0,1.0,0.0,0.0,0.0,12000.0,0.0,0.0,12000.0,,,,,,,
80748480,38.0,1.0,0.0,0.0,0.0,12000.0,0.0,0.0,12000.0,,,,,,,
80749054,38.0,1.0,0.0,0.0,0.0,12000.0,0.0,0.0,12000.0,,,,,,,
82859336,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82859802,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82860171,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82860640,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82861085,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82861942,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82862661,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
