activity_code,is_delegated,delegated_unit_code,delegated_unit_type,delegated_unit_level,delegated_unit_category,is_shareable,delegated_parent_unit_code
118091579,,,,,,False,
118091935,,,,,,False,
118092244,,,,,,False,
118092603,,,,,,False,
118093154,,,,,,False,
118093720,,,,,,False,
118107403,,,,,,False,
118107609,,,,,,False,
118107700,,,,,,False,
118107770,,,,,,False,
118107806,,,,,,False,
118107855,,,,,,False,
118107881,,,,,,False,
118107909,,,,,,False,
118107922,,,,,,False,
118107933,,,,,,False,
118107956,,,,,,False,
118107976,,,,,,False,
118107989,,,,,,False,
118108002,,,,,,False,
118108061,,,,,,False,
118108083,,,,,,False,
118108098,,,,,,False,
118108115,,,,,,False,
118108142,,,,,,False,
118108191,,,,,,False,
118108203,,,,,,False,
118108221,,,,,,False,
118108249,,,,,,False,
118108264,,,,,,False,
118108279,,,,,,False,
118108293,,,,,,False,
118108299,,,,,,False,
118108307,,,,,,False,
118108316,,,,,,False,
118108331,,,,,,False,
118108355,,,,,,False,
118108364,,,,,,False,
118108383,,,,,,False,
118108401,,,,,,False,
118108422,,,,,,False,
118108439,,,,,,False,
118108455,,,,,,False,
118110236,,,,,,False,
118110342,,,,,,False,
118111030,,,,,,False,
118111138,,,,,,False,
118111248,,,,,,False,
118111340,,,,,,False,
118111442,,,,,,False,
118111864,,,,,,False,
118111991,,,,,,False,
118112121,,,,,,False,
118112307,,,,,,False,
118112568,,,,,,False,
118112881,,,,,,False,
118113354,,,,,,False,
118113580,,,,,,False,
118113701,,,,,,False,
118113870,,,,,,False,
118114115,,,,,,False,
118114528,,,,,,False,
118114652,,,,,,False,
118114786,,,,,,False,
118114897,,,,,,False,
118115029,,,,,,False,
118115240,,,,,,False,
118236444,,,,,,False,
118236621,,,,,,False,
118236842,,,,,,False,
118237451,,,,,,False,
118238361,,,,,,False,
118238622,,,,,,False,
118247028,,,,,,False,
118247192,,,,,,False,
118247260,,,,,,False,
119560604,,,,,,False,
119560858,,,,,,False,
119563452,,,,,,False,
119563680,,,,,,False,
119563920,,,,,,False,
119564296,,,,,,False,
119564546,,,,,,False,
119565093,,,,,,False,
119565261,,,,,,False,
119565421,,,,,,False,
119567133,,,,,,False,
119568049,,,,,,False,
119568219,,,,,,False,
119568383,,,,,,False,
119568554,,,,,,False,
119568786,,,,,,False,
