activity_code,community_service_raw,community_service_code,community_service_duration,community_beneficiaries_expected
118107806,,657.0,30.0,3858.0
118107855,,,,
118107881,,,,
118107909,,657.0,30.0,3858.0
118107922,,,,
118107933,,,,
118107956,,657.0,30.0,3858.0
118107976,,,,
118107989,,657.0,30.0,3858.0
118108002,,657.0,30.0,3858.0
118108061,,,,
118108083,,,,
118108098,,,,
118108115,,,,
118108142,,,,
118108191,,,,
118108203,,,,
118108221,,,,
118108249,,,,
118108264,,,,
118108279,,,,
118108293,,,,
118108299,,657.0,30.0,900.0
118108307,,,,
118108316,,,,
118108331,,,,
118108355,,,,
118108364,,,,
118108383,,,,
118108401,,,,
118108422,,,,
118108439,,,,
118108455,,657.0,30.0,500.0
118110236,,,,
118110342,,,,
118111030,,,,
118111138,,,,
118111248,,,,
118111340,,,,
118111442,,,,
118111864,,,,
118111991,,,,
118112121,,,,
118112307,,,,
118112568,,657.0,30.0,400.0
118112881,,,,
118113354,,,,
118113580,,,,
118113701,,,,
118113870,,,,
118114115,,,,
118114528,,,,
118114652,,,,
118114786,,,,
118114897,,,,
118115029,,,,
118115240,,,,
118236444,,,,
118236621,,,,
118236842,,,,
118237451,,,,
118238361,,,,
118238622,,,,
118247028,,,,
118247192,,,,
118247260,,,,
119560604,,,,
119560858,,,,
119563452,,,,
119563680,,,,
119563920,,,,
119564296,,,,
119564546,,,,
119565093,,,,
119565261,,,,
119565421,,,,
119567133,,,,
119568049,,,,
119568219,,,,
119568383,,,,
119568554,,,,
119568786,,,,
119568946,,,,
119569165,,,,
119569399,,,,
119583960,,,,
119583984,,,,
119583997,,,,
119584006,,,,
119584044,,,,
119584070,,,,
119584088,,,,
119584098,,,,
119584117,,,,
119584133,,,,
119584154,,,,
119584162,,,,
119584168,,,,
119584181,,,,
119584188,,,,
120386265,,,,
120386319,,,,
120386748,,,,
120386777,,,,
120387060,,,,
120387109,,,,
120720939,,,,
120721071,,,,
120721179,,,,
120721595,,,,
120721909,,,,
120722017,,,,
120722835,,,,
120723046,,,,
120723667,,,,
120723785,,,,
120724102,,,,
120724227,,,,
120724421,,,,
121271632,,,,
121271646,,,,
121271655,,,,
121271672,,,,
121272792,,,,
121272834,,,,
121273214,,,,
121273258,,,,
121273310,,,,
121273434,,,,
121273502,,,,
121273533,,,,
121273572,,,,
121273603,,,,
121273640,,,,
121273673,,,,
121273703,,,,
121273739,,,,
121273796,,,,
121354878,,,,
121462383,,,,
121462688,,,,
121462884,,,,
121463059,,,,
121463253,,,,
121463452,,,,
121463644,,,,
121463811,,,,
121466578,,,,
121466765,,,,
121466987,,,,
121467166,,,,
121475974,,,,
121476138,,,,
121476349,,,,
121476531,,,,
121476699,,,,
121477030,,,,
121477219,,,,
121477395,,,,
121477581,,,,
121477744,,,,
121478042,,,,
121478233,,,,
121478502,,,,
121478706,,,,
121478881,,,,
121479069,,,,
121479310,,,,
122215550,,,,
122216579,,,,
122217944,,,,
122218511,,,,
122218795,,,,
122218966,,,,
122224954,,,,
122225397,,,,
122225876,,,,
122228522,,,,
122228761,,,,
122228876,,,,
122230024,,,,
122230126,,,,
122230446,,,,
122230575,,657.0,30.0,40.0
122241525,,,,
122241625,,,,
122242097,,,,
122242381,,,,
122242676,,,,
122242768,,,,
122242914,,657.0,30.0,300.0
122243030,,657.0,30.0,300.0
127245361,,,,
128056993,,,,
122214980,,,,
122215204,,,,
122215410,,,,
122216772,,,,
122216991,,,,
122217691,,,,
122224718,,,,
122229535,,,,
122229651,,,,
122229799,,657.0,30.0,400.0
122240109,,,,
127245330,,,,
128056968,,,,
122225160,,,,
122229161,,,,
44377691,,,,
44378384,,,,
46842718,,,,
46861757,,,,
46863243,,,,
48283445,,,,
44376521,,,,
44377200,,,,
44377555,,,,
44378252,,,,
46843604,,,,
46851012,,,,
46860396,,,,
46860964,,,,
46861339,,,,
48281117,,,,
48281283,,,,
48281425,,,,
44376713,,,,
44376908,,,,
44377348,,,,
44377837,,,,
44377958,,,,
44378080,,,,
44378515,,,,
44378637,,,,
44378727,,,,
44378905,,,,
48612920,,,,
55735899,,,,
55735975,,,,
55736083,,,,
55736204,,,,
55736283,,,,
55736361,,,,
55736700,,,,
55736812,,,,
55736870,,,,
55737761,,,,
48584673,,,,
48587836,,,,
48588115,,,,
48588415,,,,
48588888,,,,
48589178,,,,
48589482,,,,
55600860,,,,
55601248,,,,
48584377,,,,
48584943,,,,
48585211,,,,
48585464,,,,
48586944,,,,
48587198,,,,
48587405,,,,
48587616,,,,
65503145,,,,
65503237,,,,
65503444,,,,
65503546,,,,
65503646,,,,
65503808,,,,
65503898,,,,
65504538,,,,
61742558,,,,
61742451,,,,
61742455,,,,
61742460,,,,
61742469,,,,
61742479,,,,
61742490,,,,
61742509,,,,
61742520,,,,
61742552,,,,
61742562,,,,
61742577,,,,
61742586,,,,
65502394,,,,
65502685,,,,
65502816,,,,
65503385,,,,
